date,Airport,year,month,weekday,is_weekend,season,iso_country,type,scheduled_service,latitude_deg,longitude_deg,elevation_ft,prev_arr_delay_1d,prev_arr_delay_7d,rolling_arr_delay_7d,target_delayed_15,target_delay_minutes
2022-01-22,Barcelona,2022,1,5,1,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,3.769791667,6.606818182,4.225651669428571,0,2.996783626
2022-01-22,Brussels,2022,1,5,1,Winter,BE,heliport,no,50.90527,4.38936,209.0,8.151175214,9.931707317,10.185228060857142,0,12.2279661
2022-01-22,Frankfurt,2022,1,5,1,Winter,DE,heliport,no,50.145472,8.708981,209.0,11.3806563,15.14014252,11.742824250428571,0,8.749108734
2022-01-22,Madrid Barajas,2022,1,5,1,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,5.778043661,4.508013766,4.894048555571429,0,3.893120155
2022-01-22,Milan Malpensa,2022,1,5,1,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,9.088430421,10.76470588,10.313432866142858,1,22.13246914
2022-01-22,Munich,2022,1,5,1,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,8.535416667,7.054431217,5.716524991999999,1,19.29439834
2022-01-22,Nice,2022,1,5,1,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,7.96446281,3.217910448,7.358473963,0,14.55899123
2022-01-22,Palma de Mallorca,2022,1,5,1,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,3.53969697,6.755740741,4.083420836428571,0,4.657971014
2022-01-22,Paris Orly,2022,1,5,1,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,5.631658291,6.046244131,5.891232578428572,0,7.778446115
2022-01-22,Rome Fiumicino,2022,1,5,1,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,4.978522337,4.651175214,4.233963464142858,0,5.567931034
2022-01-23,Barcelona,2022,1,6,1,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,2.996783626,3.358712121,3.709932447142857,0,3.538042131
2022-01-23,Brussels,2022,1,6,1,Winter,BE,heliport,no,50.90527,4.38936,209.0,12.2279661,10.17747475,10.513265029857143,0,7.538343558
2022-01-23,Frankfurt,2022,1,6,1,Winter,DE,heliport,no,50.145472,8.708981,209.0,8.749108734,11.141,10.829819423857142,0,8.073490488
2022-01-23,Madrid Barajas,2022,1,6,1,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,3.893120155,4.463773748,4.806206611142857,0,4.370639033
2022-01-23,Milan Malpensa,2022,1,6,1,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,22.13246914,10.39684959,11.937399046142858,0,8.650190476
2022-01-23,Munich,2022,1,6,1,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,19.29439834,6.272409488,7.465091723857142,0,5.87124834
2022-01-23,Nice,2022,1,6,1,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,14.55899123,6.903768116,8.978628360428571,0,5.645866667
2022-01-23,Palma de Mallorca,2022,1,6,1,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,4.657971014,1.024092409,3.783739446857143,0,4.438996764
2022-01-23,Paris Orly,2022,1,6,1,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,7.778446115,5.013856589,6.138690004714285,0,5.856003584
2022-01-23,Rome Fiumicino,2022,1,6,1,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,5.567931034,3.84558011,4.364928581285715,0,5.826704545
2022-01-24,Barcelona,2022,1,0,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,3.538042131,3.852073733,3.73555102,0,6.167127496
2022-01-24,Brussels,2022,1,0,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,7.538343558,14.27558386,10.136246288142857,0,6.389069264
2022-01-24,Frankfurt,2022,1,0,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,8.073490488,14.43912678,10.391603779285715,0,10.3982808
2022-01-24,Madrid Barajas,2022,1,0,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.370639033,4.151801802,4.792901651857143,0,2.447375691
2022-01-24,Milan Malpensa,2022,1,0,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,8.650190476,13.74701349,11.68787631557143,1,22.66765286
2022-01-24,Munich,2022,1,0,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,5.87124834,5.95390625,7.407782988428571,0,4.622528249
2022-01-24,Nice,2022,1,0,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,5.645866667,7.742857143,8.798928153428571,0,7.092941176
